Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,113.306251,-108.9175,-90,bottom
C1,100n,C_0805_2012Metric,142.675,-112.474999,90,bottom
C2,100n,C_0805_2012Metric,144.675,-112.474999,90,bottom
C3,100n,C_0805_2012Metric,132.8,-112.475,90,bottom
C4,100n,C_0805_2012Metric,151.175,-106.825,180,bottom
C5,100n,C_0805_2012Metric,131.925,-103.937214,0,bottom
C6,100n,C_0805_2012Metric,131.85,-97.75,0,bottom
C7,100n,C_0805_2012Metric,151.175,-97.675,180,bottom
C8,1u,C_0805_2012Metric,140.675,-112.474999,-90,bottom
C9,100n,C_0805_2012Metric,130.8,-112.475,-90,bottom
C10,100n,C_0805_2012Metric,151.175,-99.675,0,bottom
C11,1u,C_0805_2012Metric,138.675,-112.475,-90,bottom
C12,1u,C_0805_2012Metric,134.675,-47.35,180,bottom
C13,1u,C_0805_2012Metric,133.95,-50.35,90,bottom
C14,15p,C_0603,155.175,-98.650001,90,bottom
C15,15p,C_0603,161.2,-98.725,-90,bottom
C16,100n,C_0805_2012Metric,119.4,-110.3,-90,bottom
D1,D_Small,Diode_SOD-123_noref,43.6,-34.71875,90,bottom
D2,D_Small,Diode_SOD-123_noref,62.65,-34.71875,90,bottom
D3,D_Small,Diode_SOD-123_noref,81.7,-34.71875,90,bottom
D4,D_Small,Diode_SOD-123_noref,100.75,-34.71875,90,bottom
D5,D_Small,Diode_SOD-123_noref,119.8,-34.71875,90,bottom
D6,D_Small,Diode_SOD-123_noref,138.85,-34.71875,90,bottom
D7,D_Small,Diode_SOD-123_noref,157.9,-34.71875,90,bottom
D8,D_Small,Diode_SOD-123_noref,176.95,-34.71875,90,bottom
D9,D_Small,Diode_SOD-123_noref,196,-34.71875,90,bottom
D10,D_Small,Diode_SOD-123_noref,215.05,-34.71875,90,bottom
D11,D_Small,Diode_SOD-123_noref,234.1,-34.71875,90,bottom
D12,D_Small,Diode_SOD-123_noref,253.15,-34.71875,90,bottom
D13,D_Small,Diode_SOD-123_noref,272.2,-34.71875,90,bottom
D14,D_Small,Diode_SOD-123_noref,280.88125,-34.71875,90,bottom
D15,D_Small,Diode_SOD-123_noref,48.3625,-53.76875,90,bottom
D16,D_Small,Diode_SOD-123_noref,72.175,-53.76875,90,bottom
D17,D_Small,Diode_SOD-123_noref,91.225,-53.76875,90,bottom
D18,D_Small,Diode_SOD-123_noref,110.275,-53.76875,90,bottom
D19,D_Small,Diode_SOD-123_noref,129.325,-53.76875,90,bottom
D20,D_Small,Diode_SOD-123_noref,148.375,-53.76875,90,bottom
D21,D_Small,Diode_SOD-123_noref,167.425,-53.76875,90,bottom
D22,D_Small,Diode_SOD-123_noref,186.475,-53.76875,90,bottom
D23,D_Small,Diode_SOD-123_noref,205.525,-53.76875,90,bottom
D24,D_Small,Diode_SOD-123_noref,224.575,-53.76875,90,bottom
